市町村名,年,総人口,男,女
長野市,2023,367198,178800,188398
長野市,2024,363986,177362,186624
長野市,2025,361045,176066,184979
松本市,2023,239342,117433,121909
松本市,2024,238369,117063,121306
松本市,2025,237005,116324,120681
上田市,2023,151836,74378,77458
上田市,2024,150813,73975,76838
上田市,2025,149869,73483,76386
岡谷市,2023,46524,22586,23938
岡谷市,2024,45872,22323,23549
岡谷市,2025,45301,22054,23247
飯田市,2023,95724,46233,49491
飯田市,2024,94659,45798,48861
飯田市,2025,93397,45238,48159
諏訪市,2023,47862,23461,24401
諏訪市,2024,47481,23242,24239
諏訪市,2025,47032,23019,24013
須坂市,2023,48978,23984,24994
須坂市,2024,48782,23928,24854
須坂市,2025,48350,23753,24597
小諸市,2023,40645,19804,20841
小諸市,2024,40547,19777,20770
小諸市,2025,40274,19662,20612
伊那市,2023,64868,31801,33067
伊那市,2024,64211,31463,32748
伊那市,2025,63758,31285,32473
駒ヶ根市,2023,31650,15491,16159
駒ヶ根市,2024,31421,15433,15988
駒ヶ根市,2025,31092,15294,15798
中野市,2023,41309,20106,21203
中野市,2024,40868,19882,20986
中野市,2025,40447,19632,20815
大町市,2023,25212,12185,13027
大町市,2024,24806,12010,12796
大町市,2025,24426,11854,12572
飯山市,2023,18839,9177,9662
飯山市,2024,18350,8955,9395
飯山市,2025,17946,8741,9205
茅野市,2023,55657,27876,27781
茅野市,2024,55290,27795,27495
茅野市,2025,55078,27646,27432
塩尻市,2023,66578,33340,33238
塩尻市,2024,66088,33140,32948
塩尻市,2025,65668,32987,32681
佐久市,2023,97671,47832,49839
佐久市,2024,97159,47608,49551
佐久市,2025,96856,47400,49456
千曲市,2023,58202,28076,30126
千曲市,2024,57846,27944,29902
千曲市,2025,57525,27716,29809
東御市,2023,29662,14578,15084
東御市,2024,29360,14468,14892
東御市,2025,29055,14339,14716
安曇野市,2023,93534,45092,48442
安曇野市,2024,93179,44945,48234
安曇野市,2025,92801,44740,48061
小海町,2023,4143,2038,2105
小海町,2024,4061,2001,2060
小海町,2025,4010,1974,2036
佐久穂町,2023,9949,4863,5086
佐久穂町,2024,9757,4762,4995
佐久穂町,2025,9640,4709,4931
川上村,2023,3694,2042,1652
川上村,2024,3627,2016,1611
川上村,2025,3518,1951,1567
南牧村,2023,2959,1565,1394
南牧村,2024,2941,1558,1383
南牧村,2025,2900,1555,1345
南相木村,2023,928,451,477
南相木村,2024,893,437,456
南相木村,2025,888,437,451
北相木村,2023,696,353,343
北相木村,2024,683,343,340
北相木村,2025,669,338,331
軽井沢町,2023,19706,9431,10275
軽井沢町,2024,19799,9491,10308
軽井沢町,2025,19948,9555,10393
御代田町,2023,15885,7842,8043
御代田町,2024,16213,7981,8232
御代田町,2025,16433,8093,8340
立科町,2023,6361,3197,3164
立科町,2024,6245,3139,3106
立科町,2025,6197,3104,3093
長和町,2023,5439,2716,2723
長和町,2024,5306,2650,2656
長和町,2025,5215,2609,2606
青木村,2023,4024,1946,2078
青木村,2024,3935,1906,2029
青木村,2025,3868,1877,1991
下諏訪町,2023,18629,8965,9664
下諏訪町,2024,18344,8845,9499
下諏訪町,2025,17991,8660,9331
富士見町,2023,13915,6773,7142
富士見町,2024,13898,6771,7127
富士見町,2025,13796,6727,7069
原村,2023,7690,3746,3944
原村,2024,7719,3748,3971
原村,2025,7716,3725,3991
辰野町,2023,17982,8702,9280
辰野町,2024,17662,8541,9121
辰野町,2025,17382,8404,8978
箕輪町,2023,24785,12413,12372
箕輪町,2024,24582,12337,12245
箕輪町,2025,24517,12295,12222
飯島町,2023,8763,4298,4465
飯島町,2024,8642,4210,4432
飯島町,2025,8551,4166,4385
南箕輪村,2023,16133,8049,8084
南箕輪村,2024,16234,8079,8155
南箕輪村,2025,16179,8053,8126
中川村,2023,4534,2152,2382
中川村,2024,4486,2137,2349
中川村,2025,4444,2107,2337
宮田村,2023,8454,4126,4328
宮田村,2024,8410,4091,4319
宮田村,2025,8367,4074,4293
松川町,2023,12280,5979,6301
松川町,2024,12198,5941,6257
松川町,2025,11981,5841,6140
高森町,2023,12761,6179,6582
高森町,2024,12614,6121,6493
高森町,2025,12450,6045,6405
阿南町,2023,4083,1972,2111
阿南町,2024,3950,1904,2046
阿南町,2025,3802,1825,1977
阿智村,2023,5856,2820,3036
阿智村,2024,5790,2792,2998
阿智村,2025,5742,2759,2983
平谷村,2023,377,186,191
平谷村,2024,366,182,184
平谷村,2025,368,185,183
根羽村,2023,838,417,421
根羽村,2024,797,406,391
根羽村,2025,778,396,382
下條村,2023,3410,1635,1775
下條村,2024,3337,1602,1735
下條村,2025,3280,1580,1700
売木村,2023,518,245,273
売木村,2024,496,239,257
売木村,2025,495,242,253
天龍村,2023,1094,516,578
天龍村,2024,1051,494,557
天龍村,2025,991,469,522
泰阜村,2023,1481,695,786
泰阜村,2024,1431,665,766
泰阜村,2025,1378,646,732
喬木村,2023,5752,2810,2942
喬木村,2024,5684,2780,2904
喬木村,2025,5600,2747,2853
豊丘村,2023,6305,3133,3172
豊丘村,2024,6269,3111,3158
豊丘村,2025,6202,3076,3126
大鹿村,2023,962,502,460
大鹿村,2024,922,486,436
大鹿村,2025,908,485,423
上松町,2023,3917,1956,1961
上松町,2024,3847,1923,1924
上松町,2025,3775,1885,1890
南木曽町,2023,3768,1841,1927
南木曽町,2024,3663,1794,1869
南木曽町,2025,3572,1757,1815
木曽町,2023,10112,4907,5205
木曽町,2024,9924,4808,5116
木曽町,2025,9709,4740,4969
木祖村,2023,2533,1164,1369
木祖村,2024,2475,1138,1337
木祖村,2025,2412,1101,1311
王滝村,2023,681,326,355
王滝村,2024,657,313,344
王滝村,2025,639,302,337
大桑村,2023,3257,1587,1670
大桑村,2024,3182,1556,1626
大桑村,2025,3066,1521,1545
麻績村,2023,2435,1154,1281
麻績村,2024,2368,1127,1241
麻績村,2025,2311,1102,1209
生坂村,2023,1615,810,805
生坂村,2024,1567,784,783
生坂村,2025,1531,772,759
山形村,2023,8270,4050,4220
山形村,2024,8260,4054,4206
山形村,2025,8223,4024,4199
朝日村,2023,4130,2021,2109
朝日村,2024,4088,2008,2080
朝日村,2025,4033,1975,2058
筑北村,2023,3985,1963,2022
筑北村,2024,3858,1908,1950
筑北村,2025,3788,1879,1909
池田町,2023,9049,4369,4680
池田町,2024,8907,4308,4599
池田町,2025,8782,4261,4521
松川村,2023,9500,4572,4928
松川村,2024,9477,4550,4927
松川村,2025,9541,4592,4949
白馬村,2023,8743,4380,4363
白馬村,2024,9117,4621,4496
白馬村,2025,9486,4759,4727
小谷村,2023,2592,1350,1242
小谷村,2024,2594,1358,1236
小谷村,2025,2679,1410,1269
坂城町,2023,13494,6664,6830
坂城町,2024,13365,6641,6724
坂城町,2025,13108,6497,6611
小布施町,2023,10649,5097,5552
小布施町,2024,10648,5076,5572
小布施町,2025,10642,5066,5576
高山村,2023,6390,3151,3239
高山村,2024,6266,3097,3169
高山村,2025,6154,3030,3124
山ノ内町,2023,10853,5270,5583
山ノ内町,2024,10756,5219,5537
山ノ内町,2025,10587,5155,5432
木島平村,2023,4216,2053,2163
木島平村,2024,4140,2016,2124
木島平村,2025,4014,1947,2067
野沢温泉村,2023,3217,1552,1665
野沢温泉村,2024,3300,1603,1697
野沢温泉村,2025,3358,1622,1736
信濃町,2023,7473,3689,3784
信濃町,2024,7341,3609,3732
信濃町,2025,7203,3541,3662
飯綱町,2023,9952,4854,5098
飯綱町,2024,9782,4770,5012
飯綱町,2025,9690,4749,4941
小川村,2023,2147,1070,1077
小川村,2024,2096,1051,1045
小川村,2025,2031,1016,1015
栄村,2023,1545,731,814
栄村,2024,1494,708,786
栄村,2025,1463,696,767
