市町村名,年,総人口,男,女
長野市,2025,361045,176066,184979
松本市,2025,237005,116324,120681
上田市,2025,149869,73483,76386
岡谷市,2025,45301,22054,23247
飯田市,2025,93397,45238,48159
諏訪市,2025,47032,23019,24013
須坂市,2025,48350,23753,24597
小諸市,2025,40274,19662,20612
伊那市,2025,63758,31285,32473
駒ヶ根市,2025,31092,15294,15798
中野市,2025,40447,19632,20815
大町市,2025,24426,11854,12572
飯山市,2025,17946,8741,9205
茅野市,2025,55078,27646,27432
塩尻市,2025,65668,32987,32681
佐久市,2025,96856,47400,49456
千曲市,2025,57525,27716,29809
東御市,2025,29055,14339,14716
安曇野市,2025,92801,44740,48061
小海町,2025,4010,1974,2036
佐久穂町,2025,9640,4709,4931
川上村,2025,3518,1951,1567
南牧村,2025,2900,1555,1345
南相木村,2025,888,437,451
北相木村,2025,669,338,331
軽井沢町,2025,19948,9555,10393
御代田町,2025,16433,8093,8340
立科町,2025,6197,3104,3093
長和町,2025,5215,2609,2606
青木村,2025,3868,1877,1991
下諏訪町,2025,17991,8660,9331
富士見町,2025,13796,6727,7069
原村,2025,7716,3725,3991
辰野町,2025,17382,8404,8978
箕輪町,2025,24517,12295,12222
飯島町,2025,8551,4166,4385
南箕輪村,2025,16179,8053,8126
中川村,2025,4444,2107,2337
宮田村,2025,8367,4074,4293
松川町,2025,11981,5841,6140
高森町,2025,12450,6045,6405
阿南町,2025,3802,1825,1977
阿智村,2025,5742,2759,2983
平谷村,2025,368,185,183
根羽村,2025,778,396,382
下條村,2025,3280,1580,1700
売木村,2025,495,242,253
天龍村,2025,991,469,522
泰阜村,2025,1378,646,732
喬木村,2025,5600,2747,2853
豊丘村,2025,6202,3076,3126
大鹿村,2025,908,485,423
上松町,2025,3775,1885,1890
南木曽町,2025,3572,1757,1815
木曽町,2025,9709,4740,4969
木祖村,2025,2412,1101,1311
王滝村,2025,639,302,337
大桑村,2025,3066,1521,1545
麻績村,2025,2311,1102,1209
生坂村,2025,1531,772,759
山形村,2025,8223,4024,4199
朝日村,2025,4033,1975,2058
筑北村,2025,3788,1879,1909
池田町,2025,8782,4261,4521
松川村,2025,9541,4592,4949
白馬村,2025,9486,4759,4727
小谷村,2025,2679,1410,1269
坂城町,2025,13108,6497,6611
小布施町,2025,10642,5066,5576
高山村,2025,6154,3030,3124
山ノ内町,2025,10587,5155,5432
木島平村,2025,4014,1947,2067
野沢温泉村,2025,3358,1622,1736
信濃町,2025,7203,3541,3662
飯綱町,2025,9690,4749,4941
小川村,2025,2031,1016,1015
栄村,2025,1463,696,767
