市町村名,2017年_総人口,2025年_総人口
長野市,375910,361045
松本市,242708,237005
上田市,156329,149869
岡谷市,49652,45301
飯田市,100827,93397
諏訪市,49644,47032
須坂市,50468,48350
小諸市,42105,40274
伊那市,67810,63758
駒ヶ根市,32608,31092
中野市,43434,40447
大町市,27551,24426
飯山市,20860,17946
茅野市,55848,55078
塩尻市,67056,65668
佐久市,99172,96856
千曲市,60033,57525
東御市,29885,29055
安曇野市,94979,92801
小海町,4539,4010
佐久穂町,10898,9640
川上村,3925,3518
南牧村,3098,2900
南相木村,986,888
北相木村,768,669
軽井沢町,19066,19948
御代田町,15145,16433
立科町,7175,6197
長和町,5986,5215
青木村,4266,3868
下諏訪町,20039,17991
富士見町,14406,13796
原村,7592,7716
辰野町,19464,17382
箕輪町,25174,24517
飯島町,9429,8551
南箕輪村,15276,16179
中川村,4783,4444
宮田村,8761,8367
松川町,13043,11981
高森町,12925,12450
阿南町,4774,3802
阿智村,6477,5742
平谷村,453,368
根羽村,939,778
下條村,3752,3280
売木村,560,495
天龍村,1314,991
泰阜村,1655,1378
喬木村,6283,5600
豊丘村,6553,6202
大鹿村,1023,908
上松町,4559,3775
南木曽町,4209,3572
木曽町,11519,9709
木祖村,2870,2412
王滝村,806,639
大桑村,3725,3066
麻績村,2756,2311
生坂村,1791,1531
山形村,8368,8223
朝日村,4447,4033
筑北村,4592,3788
池田町,9802,8782
松川村,9860,9541
白馬村,9207,9486
小谷村,2873,2679
坂城町,14583,13108
小布施町,10596,10642
高山村,6920,6154
山ノ内町,12243,10587
木島平村,4590,4014
野沢温泉村,3517,3358
信濃町,8295,7203
飯綱町,10870,9690
小川村,2549,2031
栄村,1899,1463
