市町村名,年,総人口,男,女
長野市,2017,375910,182176,193734
長野市,2018,374395,181303,193092
長野市,2019,371920,180101,191819
長野市,2020,369764,179261,190503
長野市,2021,372470,181191,191279
長野市,2022,370081,180102,189979
長野市,2023,367198,178800,188398
長野市,2024,363986,177362,186624
長野市,2025,361045,176066,184979
松本市,2017,242708,119249,123459
松本市,2018,241779,118797,122982
松本市,2019,241074,118390,122684
松本市,2020,240178,118023,122155
松本市,2021,240864,118157,122707
松本市,2022,239862,117721,122141
松本市,2023,239342,117433,121909
松本市,2024,238369,117063,121306
松本市,2025,237005,116324,120681
上田市,2017,156329,76560,79769
上田市,2018,155595,76262,79333
上田市,2019,155169,76067,79102
上田市,2020,153868,75375,78493
上田市,2021,153924,75314,78610
上田市,2022,152944,74862,78082
上田市,2023,151836,74378,77458
上田市,2024,150813,73975,76838
上田市,2025,149869,73483,76386
岡谷市,2017,49652,24071,25581
岡谷市,2018,49201,23855,25346
岡谷市,2019,48652,23663,24989
岡谷市,2020,48210,23449,24761
岡谷市,2021,47657,23150,24507
岡谷市,2022,46930,22802,24128
岡谷市,2023,46524,22586,23938
岡谷市,2024,45872,22323,23549
岡谷市,2025,45301,22054,23247
飯田市,2017,100827,48145,52682
飯田市,2018,99952,47767,52185
飯田市,2019,99174,47501,51673
飯田市,2020,98014,47045,50969
飯田市,2021,97987,47208,50779
飯田市,2022,96838,46723,50115
飯田市,2023,95724,46233,49491
飯田市,2024,94659,45798,48861
飯田市,2025,93397,45238,48159
諏訪市,2017,49644,24193,25451
諏訪市,2018,49376,24079,25297
諏訪市,2019,49043,23969,25074
諏訪市,2020,48661,23834,24827
諏訪市,2021,48669,23797,24872
諏訪市,2022,48113,23537,24576
諏訪市,2023,47862,23461,24401
諏訪市,2024,47481,23242,24239
諏訪市,2025,47032,23019,24013
須坂市,2017,50468,24654,25814
須坂市,2018,50225,24571,25654
須坂市,2019,49937,24516,25421
須坂市,2020,49616,24382,25234
須坂市,2021,49544,24323,25221
須坂市,2022,49262,24166,25096
須坂市,2023,48978,23984,24994
須坂市,2024,48782,23928,24854
須坂市,2025,48350,23753,24597
小諸市,2017,42105,20401,21704
小諸市,2018,41802,20277,21525
小諸市,2019,41625,20216,21409
小諸市,2020,41381,20121,21260
小諸市,2021,41013,19948,21065
小諸市,2022,40788,19871,20917
小諸市,2023,40645,19804,20841
小諸市,2024,40547,19777,20770
小諸市,2025,40274,19662,20612
伊那市,2017,67810,33222,34588
伊那市,2018,67404,33007,34397
伊那市,2019,67058,32915,34143
伊那市,2020,66477,32634,33843
伊那市,2021,65932,32323,33609
伊那市,2022,65376,32072,33304
伊那市,2023,64868,31801,33067
伊那市,2024,64211,31463,32748
伊那市,2025,63758,31285,32473
駒ヶ根市,2017,32608,15920,16688
駒ヶ根市,2018,32471,15866,16605
駒ヶ根市,2019,32237,15755,16482
駒ヶ根市,2020,32145,15727,16418
駒ヶ根市,2021,32176,15721,16455
駒ヶ根市,2022,31942,15630,16312
駒ヶ根市,2023,31650,15491,16159
駒ヶ根市,2024,31421,15433,15988
駒ヶ根市,2025,31092,15294,15798
中野市,2017,43434,20966,22468
中野市,2018,43057,20794,22263
中野市,2019,42756,20673,22083
中野市,2020,42425,20536,21889
中野市,2021,42253,20501,21752
中野市,2022,41755,20313,21442
中野市,2023,41309,20106,21203
中野市,2024,40868,19882,20986
中野市,2025,40447,19632,20815
大町市,2017,27551,13366,14185
大町市,2018,27119,13170,13949
大町市,2019,26747,12962,13785
大町市,2020,26320,12757,13563
大町市,2021,25998,12572,13426
大町市,2022,25550,12363,13187
大町市,2023,25212,12185,13027
大町市,2024,24806,12010,12796
大町市,2025,24426,11854,12572
飯山市,2017,20860,10116,10744
飯山市,2018,20501,9938,10563
飯山市,2019,20126,9751,10375
飯山市,2020,19763,9600,10163
飯山市,2021,19468,9465,10003
飯山市,2022,19194,9339,9855
飯山市,2023,18839,9177,9662
飯山市,2024,18350,8955,9395
飯山市,2025,17946,8741,9205
茅野市,2017,55848,27844,28004
茅野市,2018,55857,27864,27993
茅野市,2019,55764,27846,27918
茅野市,2020,55423,27737,27686
茅野市,2021,56337,28199,28138
茅野市,2022,56116,28103,28013
茅野市,2023,55657,27876,27781
茅野市,2024,55290,27795,27495
茅野市,2025,55078,27646,27432
塩尻市,2017,67056,33389,33667
塩尻市,2018,66977,33353,33624
塩尻市,2019,66894,33379,33515
塩尻市,2020,66545,33198,33347
塩尻市,2021,67199,33562,33637
塩尻市,2022,66787,33399,33388
塩尻市,2023,66578,33340,33238
塩尻市,2024,66088,33140,32948
塩尻市,2025,65668,32987,32681
佐久市,2017,99172,48326,50846
佐久市,2018,99018,48255,50763
佐久市,2019,98895,48246,50649
佐久市,2020,98601,48150,50451
佐久市,2021,98145,48031,50114
佐久市,2022,97918,47960,49958
佐久市,2023,97671,47832,49839
佐久市,2024,97159,47608,49551
佐久市,2025,96856,47400,49456
千曲市,2017,60033,29039,30994
千曲市,2018,59698,28899,30799
千曲市,2019,59453,28759,30694
千曲市,2020,59100,28633,30467
千曲市,2021,58774,28368,30406
千曲市,2022,58508,28199,30309
千曲市,2023,58202,28076,30126
千曲市,2024,57846,27944,29902
千曲市,2025,57525,27716,29809
