しゅるい,ひれの長さ(mm),体重(g)
アデリーペンギン,181,3750
アデリーペンギン,186,3800
アデリーペンギン,195,3250
アデリーペンギン,193,3450
アデリーペンギン,190,3650
アデリーペンギン,181,3625
アデリーペンギン,195,4675
アデリーペンギン,193,3475
アデリーペンギン,190,4250
アデリーペンギン,186,3300
アデリーペンギン,180,3700
アデリーペンギン,182,3200
アデリーペンギン,191,3800
アデリーペンギン,198,4400
アデリーペンギン,185,3700
アデリーペンギン,195,3450
アデリーペンギン,197,4500
アデリーペンギン,184,3325
アデリーペンギン,194,4200
アデリーペンギン,174,3400
アデリーペンギン,180,3600
アデリーペンギン,189,3800
アデリーペンギン,185,3950
アデリーペンギン,180,3800
アデリーペンギン,187,3800
アデリーペンギン,183,3550
アデリーペンギン,187,3200
アデリーペンギン,172,3150
アデリーペンギン,180,3950
アデリーペンギン,178,3250
アデリーペンギン,178,3900
アデリーペンギン,188,3300
アデリーペンギン,184,3900
アデリーペンギン,195,3325
アデリーペンギン,196,4150
アデリーペンギン,190,3950
アデリーペンギン,180,3550
アデリーペンギン,181,3300
アデリーペンギン,184,4650
アデリーペンギン,182,3150
アデリーペンギン,195,3900
アデリーペンギン,186,3100
アデリーペンギン,196,4400
アデリーペンギン,185,3000
アデリーペンギン,190,4600
アデリーペンギン,182,3425
アデリーペンギン,179,2975
アデリーペンギン,190,3450
アデリーペンギン,191,4150
アデリーペンギン,186,3500
アデリーペンギン,188,4300
アデリーペンギン,190,3450
アデリーペンギン,200,4050
アデリーペンギン,187,2900
アデリーペンギン,191,3700
アデリーペンギン,186,3550
アデリーペンギン,193,3800
アデリーペンギン,181,2850
アデリーペンギン,194,3750
アデリーペンギン,185,3150
アデリーペンギン,195,4400
アデリーペンギン,185,3600
アデリーペンギン,192,4050
アデリーペンギン,184,2850
アデリーペンギン,192,3950
アデリーペンギン,195,3350
アデリーペンギン,188,4100
アデリーペンギン,190,3050
アデリーペンギン,198,4450
アデリーペンギン,190,3600
アデリーペンギン,190,3900
アデリーペンギン,196,3550
アデリーペンギン,197,4150
アデリーペンギン,190,3700
アデリーペンギン,195,4250
アデリーペンギン,191,3700
アデリーペンギン,184,3900
アデリーペンギン,187,3550
アデリーペンギン,195,4000
アデリーペンギン,189,3200
アデリーペンギン,196,4700
アデリーペンギン,187,3800
アデリーペンギン,193,4200
アデリーペンギン,191,3350
アデリーペンギン,194,3550
アデリーペンギン,190,3800
アデリーペンギン,189,3500
アデリーペンギン,189,3950
アデリーペンギン,190,3600
アデリーペンギン,202,3550
アデリーペンギン,205,4300
アデリーペンギン,185,3400
アデリーペンギン,186,4450
アデリーペンギン,187,3300
アデリーペンギン,208,4300
アデリーペンギン,190,3700
アデリーペンギン,196,4350
アデリーペンギン,178,2900
アデリーペンギン,192,4100
アデリーペンギン,192,3725
アデリーペンギン,203,4725
アデリーペンギン,183,3075
アデリーペンギン,190,4250
アデリーペンギン,193,2925
アデリーペンギン,184,3550
アデリーペンギン,199,3750
アデリーペンギン,190,3900
アデリーペンギン,181,3175
アデリーペンギン,197,4775
アデリーペンギン,198,3825
アデリーペンギン,191,4600
アデリーペンギン,193,3200
アデリーペンギン,197,4275
アデリーペンギン,191,3900
アデリーペンギン,196,4075
アデリーペンギン,188,2900
アデリーペンギン,199,3775
アデリーペンギン,189,3350
アデリーペンギン,189,3325
アデリーペンギン,187,3150
アデリーペンギン,198,3500
アデリーペンギン,176,3450
アデリーペンギン,202,3875
アデリーペンギン,186,3050
アデリーペンギン,199,4000
アデリーペンギン,191,3275
アデリーペンギン,195,4300
アデリーペンギン,191,3050
アデリーペンギン,210,4000
アデリーペンギン,190,3325
アデリーペンギン,197,3500
アデリーペンギン,193,3500
アデリーペンギン,199,4475
