しゅるい,くちばしの長さ(mm),くちばしの深さ(mm)
アデリーペンギン,39.1,18.7
アデリーペンギン,39.5,17.4
アデリーペンギン,40.3,18.0
アデリーペンギン,36.7,19.3
アデリーペンギン,39.3,20.6
アデリーペンギン,38.9,17.8
アデリーペンギン,39.2,19.6
アデリーペンギン,34.1,18.1
アデリーペンギン,42.0,20.2
アデリーペンギン,37.8,17.1
アデリーペンギン,37.8,17.3
アデリーペンギン,41.1,17.6
アデリーペンギン,38.6,21.2
アデリーペンギン,34.6,21.1
アデリーペンギン,36.6,17.8
アデリーペンギン,38.7,19.0
アデリーペンギン,42.5,20.7
アデリーペンギン,34.4,18.4
アデリーペンギン,46.0,21.5
アデリーペンギン,37.8,18.3
アデリーペンギン,37.7,18.7
アデリーペンギン,35.9,19.2
アデリーペンギン,38.2,18.1
アデリーペンギン,38.8,17.2
アデリーペンギン,35.3,18.9
アデリーペンギン,40.6,18.6
アデリーペンギン,40.5,17.9
アデリーペンギン,37.9,18.6
アデリーペンギン,40.5,18.9
アデリーペンギン,39.5,16.7
アデリーペンギン,37.2,18.1
アデリーペンギン,39.5,17.8
アデリーペンギン,40.9,18.9
アデリーペンギン,36.4,17.0
アデリーペンギン,39.2,21.1
アデリーペンギン,38.8,20.0
アデリーペンギン,42.2,18.5
アデリーペンギン,37.6,19.3
アデリーペンギン,39.8,19.1
アデリーペンギン,36.5,18.0
アデリーペンギン,40.8,18.4
アデリーペンギン,36.0,18.5
アデリーペンギン,44.1,19.7
アデリーペンギン,37.0,16.9
アデリーペンギン,39.6,18.8
アデリーペンギン,41.1,19.0
アデリーペンギン,37.5,18.9
アデリーペンギン,36.0,17.9
アデリーペンギン,42.3,21.2
アデリーペンギン,39.6,17.7
アデリーペンギン,40.1,18.9
アデリーペンギン,35.0,17.9
アデリーペンギン,42.0,19.5
アデリーペンギン,34.5,18.1
アデリーペンギン,41.4,18.6
アデリーペンギン,39.0,17.5
アデリーペンギン,40.6,18.8
アデリーペンギン,36.5,16.6
アデリーペンギン,37.6,19.1
アデリーペンギン,35.7,16.9
アデリーペンギン,41.3,21.1
アデリーペンギン,37.6,17.0
アデリーペンギン,41.1,18.2
アデリーペンギン,36.4,17.1
アデリーペンギン,41.6,18.0
アデリーペンギン,35.5,16.2
アデリーペンギン,41.1,19.1
アデリーペンギン,35.9,16.6
アデリーペンギン,41.8,19.4
