しゅるい,島,くちばしの長さ(mm),くちばしの深さ(mm),ひれの長さ(mm),体重(g),せいべつ,年
アデリーペンギン,トーゲルセン島,39.1,18.7,181,3750,オス,2007
アデリーペンギン,トーゲルセン島,39.5,17.4,186,3800,メス,2007
アデリーペンギン,トーゲルセン島,40.3,18.0,195,3250,メス,2007
アデリーペンギン,トーゲルセン島,,,,,,2007
アデリーペンギン,トーゲルセン島,36.7,19.3,193,3450,メス,2007
アデリーペンギン,トーゲルセン島,39.3,20.6,190,3650,オス,2007
アデリーペンギン,トーゲルセン島,38.9,17.8,181,3625,メス,2007
アデリーペンギン,トーゲルセン島,39.2,19.6,195,4675,オス,2007
アデリーペンギン,トーゲルセン島,34.1,18.1,193,3475,,2007
アデリーペンギン,トーゲルセン島,42.0,20.2,190,4250,,2007
アデリーペンギン,トーゲルセン島,37.8,17.1,186,3300,,2007
アデリーペンギン,トーゲルセン島,37.8,17.3,180,3700,,2007
アデリーペンギン,トーゲルセン島,41.1,17.6,182,3200,メス,2007
アデリーペンギン,トーゲルセン島,38.6,21.2,191,3800,オス,2007
アデリーペンギン,トーゲルセン島,34.6,21.1,198,4400,オス,2007
アデリーペンギン,トーゲルセン島,36.6,17.8,185,3700,メス,2007
アデリーペンギン,トーゲルセン島,38.7,19.0,195,3450,メス,2007
アデリーペンギン,トーゲルセン島,42.5,20.7,197,4500,オス,2007
アデリーペンギン,トーゲルセン島,34.4,18.4,184,3325,メス,2007
アデリーペンギン,トーゲルセン島,46.0,21.5,194,4200,オス,2007
アデリーペンギン,ビスコー島,37.8,18.3,174,3400,メス,2007
アデリーペンギン,ビスコー島,37.7,18.7,180,3600,オス,2007
アデリーペンギン,ビスコー島,35.9,19.2,189,3800,メス,2007
アデリーペンギン,ビスコー島,38.2,18.1,185,3950,オス,2007
アデリーペンギン,ビスコー島,38.8,17.2,180,3800,オス,2007
アデリーペンギン,ビスコー島,35.3,18.9,187,3800,メス,2007
アデリーペンギン,ビスコー島,40.6,18.6,183,3550,オス,2007
アデリーペンギン,ビスコー島,40.5,17.9,187,3200,メス,2007
アデリーペンギン,ビスコー島,37.9,18.6,172,3150,メス,2007
アデリーペンギン,ビスコー島,40.5,18.9,180,3950,オス,2007
アデリーペンギン,ドリーム島,39.5,16.7,178,3250,メス,2007
アデリーペンギン,ドリーム島,37.2,18.1,178,3900,オス,2007
アデリーペンギン,ドリーム島,39.5,17.8,188,3300,メス,2007
アデリーペンギン,ドリーム島,40.9,18.9,184,3900,オス,2007
アデリーペンギン,ドリーム島,36.4,17.0,195,3325,メス,2007
アデリーペンギン,ドリーム島,39.2,21.1,196,4150,オス,2007
アデリーペンギン,ドリーム島,38.8,20.0,190,3950,オス,2007
アデリーペンギン,ドリーム島,42.2,18.5,180,3550,メス,2007
アデリーペンギン,ドリーム島,37.6,19.3,181,3300,メス,2007
アデリーペンギン,ドリーム島,39.8,19.1,184,4650,オス,2007
アデリーペンギン,ドリーム島,36.5,18.0,182,3150,メス,2007
アデリーペンギン,ドリーム島,40.8,18.4,195,3900,オス,2007
アデリーペンギン,ドリーム島,36.0,18.5,186,3100,メス,2007
アデリーペンギン,ドリーム島,44.1,19.7,196,4400,オス,2007
